Generation number,Best fitness      ,Best genome                                                                                                                                                                                                                                                                                                                                                                    ,Worst fitness     ,Worst genome                                                                                                                                                                                                                                                                                                                                                                   ,Mean              ,Average           ,Standard deviation
0                ,108.48625946044922,"Genome{fitness:108.48625946044922,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:109},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.43086853203916564},IntegerGene{label:hidden_2_units,min:10,max:200,val:116},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.1596679057634084},IntegerGene{label:batch_size,min:100,max:400,val:111},]}" ,136.74961853027344,"Genome{fitness:136.74961853027344,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:17},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.17061927507595387},IntegerGene{label:hidden_2_units,min:10,max:200,val:173},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.2122387269175909},IntegerGene{label:batch_size,min:100,max:400,val:375},]}"  ,115.75237121582032,115.75237121582032,9.25719111896789
1                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,114.85020446777344,"Genome{fitness:114.85020446777344,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:143},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.3110587066674557},IntegerGene{label:hidden_2_units,min:10,max:200,val:62},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.2326218699015787},IntegerGene{label:batch_size,min:100,max:400,val:318},]}"   ,109.86031799316406,109.86031799316406,1.5294406186530543
2                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,111.85765838623047,"Genome{fitness:111.85765838623047,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:91},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.298715292319133},IntegerGene{label:hidden_2_units,min:10,max:200,val:15},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.15602135033707856},IntegerGene{label:batch_size,min:100,max:400,val:245},]}"    ,109.2083568572998 ,109.2083568572998 ,0.7493286459761714
3                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,117.19282531738281,"Genome{fitness:117.19282531738281,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:105},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.1693937610948419},IntegerGene{label:hidden_2_units,min:10,max:200,val:10},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.3274577380319131},IntegerGene{label:batch_size,min:100,max:400,val:173},]}"   ,109.48804664611816,109.48804664611816,1.858002863609093
4                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,111.66716766357422,"Genome{fitness:111.66716766357422,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:105},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.1868896715468103},IntegerGene{label:hidden_2_units,min:10,max:200,val:142},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.4674271466246934},IntegerGene{label:batch_size,min:100,max:400,val:311},]}"  ,109.16358795166016,109.16358795166016,0.836079022109817
5                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,111.30123901367188,"Genome{fitness:111.30123901367188,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:181},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.261362128065225},IntegerGene{label:hidden_2_units,min:10,max:200,val:21},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.5},IntegerGene{label:batch_size,min:100,max:400,val:183},]}"                   ,109.31753997802734,109.31753997802734,0.9495040836904379
6                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,112.00106048583984,"Genome{fitness:112.00106048583984,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:105},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.30397973727807415},IntegerGene{label:hidden_2_units,min:10,max:200,val:17},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.4674271466246934},IntegerGene{label:batch_size,min:100,max:400,val:183},]}"  ,109.18814620971679,109.18814620971679,1.0089209734317925
7                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,113.02556610107422,"Genome{fitness:113.02556610107422,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:181},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.30397973727807415},IntegerGene{label:hidden_2_units,min:10,max:200,val:10},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.4674271466246934},IntegerGene{label:batch_size,min:100,max:400,val:183},]}"  ,109.04345092773437,109.04345092773437,0.9701570375562165
8                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,110.01091003417969,"Genome{fitness:110.01091003417969,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:105},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.3273333416438621},IntegerGene{label:hidden_2_units,min:10,max:200,val:106},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.4674271466246934},IntegerGene{label:batch_size,min:100,max:400,val:183},]}"  ,108.77788848876953,108.77788848876953,0.3387387098135982
9                ,108.35382843017578,"Genome{fitness:108.35382843017578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:69},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.2798132861936564},IntegerGene{label:hidden_2_units,min:10,max:200,val:53},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.11864148310551133},IntegerGene{label:batch_size,min:100,max:400,val:165},]}"   ,109.3060302734375 ,"Genome{fitness:109.3060302734375,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:143},FloatGene{lab:hidden_1_dropout_rate,min:0.1,max:0.5,val:0.30397973727807415},IntegerGene{label:hidden_2_units,min:10,max:200,val:142},FloatGene{lab:hidden_2_dropout_rate,min:0.1,max:0.5,val:0.35811165948162094},IntegerGene{label:batch_size,min:100,max:400,val:173},]}" ,108.70497131347656,108.70497131347656,0.23488719911585357
