Generation number,Best fitness,Best genome,Worst fitness,Worst genome,Mean,Average,Standard deviation
0,108.2223129272461,"Genome{fitness:108.2223129272461,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:74},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.3903305840551452},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.059903533992628696},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",202.45245361328125,"Genome{fitness:202.45245361328125,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:14},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.4632228950766823},IntegerGene{label:hidden_2_units,min:10,max:250,val:243},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.27074574743366836},IntegerGene{label:batch_size,min:100,max:400,val:384},]}",119.1661922454834,119.1661922454834,20.378998972724347
1,108.2223129272461,"Genome{fitness:108.2223129272461,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:74},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.3903305840551452},IntegerGene{label:hidden_2_units,min:10,max:250,val:189},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.059903533992628696},IntegerGene{label:batch_size,min:100,max:400,val:240},]}",131.2338409423828,"Genome{fitness:131.2338409423828,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.34621230901882566},IntegerGene{label:hidden_2_units,min:10,max:250,val:181},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.2938564347904319},IntegerGene{label:batch_size,min:100,max:400,val:377},]}",113.6476276397705,113.6476276397705,6.741095744771117
2,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",114.5845718383789,"Genome{fitness:114.5845718383789,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:62},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.3948856519101279},IntegerGene{label:hidden_2_units,min:10,max:250,val:45},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.41374340535700427},IntegerGene{label:batch_size,min:100,max:400,val:317},]}",110.18356208801269,110.18356208801269,1.9903505181056074
3,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",110.42538452148438,"Genome{fitness:110.42538452148438,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:27},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.5},IntegerGene{label:batch_size,min:100,max:400,val:270},]}",109.02256088256836,109.02256088256836,0.6830490036133113
4,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",121.06132507324219,"Genome{fitness:121.06132507324219,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:236},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.1235441916010816},IntegerGene{label:hidden_2_units,min:10,max:250,val:33},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.3710730405729676},IntegerGene{label:batch_size,min:100,max:400,val:321},]}",109.73112602233887,109.73112602233887,2.8150192901765174
5,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",109.91879272460938,"Genome{fitness:109.91879272460938,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:186},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.4514432857528059},IntegerGene{label:hidden_2_units,min:10,max:250,val:39},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.3710730405729676},IntegerGene{label:batch_size,min:100,max:400,val:193},]}",108.77074394226074,108.77074394226074,0.527928829042882
6,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.86469268798828,"Genome{fitness:108.86469268798828,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:51},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.40469131801347524},IntegerGene{label:hidden_2_units,min:10,max:250,val:167},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.4868355128347177},IntegerGene{label:batch_size,min:100,max:400,val:257},]}",108.51544494628907,108.51544494628907,0.19602091666326385
7,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.96273040771484,"Genome{fitness:108.96273040771484,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:204},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.40469131801347524},IntegerGene{label:hidden_2_units,min:10,max:250,val:250},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.28641745704383575},IntegerGene{label:batch_size,min:100,max:400,val:126},]}",108.46603393554688,108.46603393554688,0.18247511200673472
8,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",109.39759826660156,"Genome{fitness:109.39759826660156,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.47986243321866223},IntegerGene{label:hidden_2_units,min:10,max:250,val:250},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.28641745704383575},IntegerGene{label:batch_size,min:100,max:400,val:126},]}",108.50056762695313,108.50056762695313,0.2650343182550471
9,108.10503387451172,"Genome{fitness:108.10503387451172,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.25046610982215733},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.14896404273262454},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.82281494140625,"Genome{fitness:108.82281494140625,genes:[IntegerGene{label:hidden_1_units,min:10,max:250,val:180},FloatGene{label:hidden_1_dropout_rate,min:0.05,max:0.5,val:0.40469131801347524},IntegerGene{label:hidden_2_units,min:10,max:250,val:190},FloatGene{label:hidden_2_dropout_rate,min:0.05,max:0.5,val:0.291728082041242},IntegerGene{label:batch_size,min:100,max:400,val:102},]}",108.4462459564209,108.4462459564209,0.16879152924956337
